Subject,Threshold,Metric,Network,SubjIndex_Exp,SubjIndex_Ref,SubjectID_Exp,SubjectID_Ref,Value
allsubs,0,PPVcorr_Jeffreys_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.621122234581634
allsubs,0,PPVcorr_Jeffreys_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.762350795755968
allsubs,0,PPVcorr_d1d2_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.813902489164203
allsubs,0,PPVcorr_d1d2_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.893170811966521
allsubs,0,PPVcorr_d1d2_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.663038501730207
allsubs,0,PPVcorr_d1d2_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.596185519467686
allsubs,0,PPVcorr_d1d2_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.667898106422871
allsubs,0,PPVcorr_d1d2_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.50307900520717
allsubs,0,PPVcorr_d1d2_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.380461613101432
allsubs,0,PPVcorr_d1d2_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.855871621621622
allsubs,0,PPVcorr_d1d2_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.383107586073688
allsubs,0,PPVcorr_d1d2_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.83897726729346
allsubs,0,PPVcorr_d1d2_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.407676456409335
allsubs,0,PPVcorr_d1d2_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.638428853026168
allsubs,0,PPVcorr_d1d2_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.371548940969171
allsubs,0,PPVcorr_d1d2_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.648150955454245
allsubs,0,PPVcorr_d1d2_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.786400609777983
allsubs,0,PPVcorr_bayes_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.810479899383268
