Subject,Threshold,Metric,Network,ExpMin,RefMin,Value
PFM3T7T01,0.0,FNR_cort,PON,20,70,0.304912478825522
PFM3T7T01,0.0,FNR_cort,PON,25,70,0.268774703557312
PFM3T7T01,0.0,FNR_cort,PON,30,70,0.298136645962733
PFM3T7T01,0.0,FNR_cort,PON,35,70,0.280067758328628
PFM3T7T01,0.0,FNR_cort,PON,40,70,0.266516092603049
PFM3T7T01,0.0,FNR_cort,PON,45,70,0.233201581027668
PFM3T7T01,0.0,FNR_cort,PON,5,70,0.490683229813665
PFM3T7T01,0.0,FNR_cort,PON,50,70,0.251270468661773
PFM3T7T01,0.0,FNR_cort,PON,55,70,0.252399774138905
PFM3T7T01,0.0,FNR_cort,PON,60,70,0.197063805759458
PFM3T7T01,0.0,FNR_cort,PON,65,70,0.2343308865048
PFM3T7T01,0.0,FNR_cort,PON,70,70,0.250705815923207
PFM3T7T01,0.0,FNR_cort,SCAN,10,70,0.5254329004329
PFM3T7T01,0.0,FNR_cort,SCAN,15,70,0.400974025974026
PFM3T7T01,0.0,FNR_cort,SCAN,20,70,0.351731601731602
PFM3T7T01,0.0,FNR_cort,SCAN,25,70,0.298701298701299
PFM3T7T01,0.0,FNR_cort,SCAN,30,70,0.271103896103896
PFM3T7T01,0.0,FNR_cort,SCAN,35,70,0.296536796536797
PFM3T7T01,0.0,FNR_cort,SCAN,40,70,0.298160173160173
PFM3T7T01,0.0,FNR_cort,SCAN,45,70,0.307900432900433
PFM3T7T01,0.0,FNR_cort,SCAN,5,70,0.527597402597403
PFM3T7T01,0.0,FNR_cort,SCAN,50,70,0.307359307359307
PFM3T7T01,0.0,FNR_cort,SCAN,55,70,0.314935064935065
PFM3T7T01,0.0,FNR_cort,SCAN,60,70,0.297077922077922
PFM3T7T01,0.0,FNR_cort,SCAN,65,70,0.265692640692641
PFM3T7T01,0.0,FNR_cort,SCAN,70,70,0.258116883116883
PFM3T7T01,0.0,FNR_cort,SMd,10,70,0.673666666666667
PFM3T7T01,0.0,FNR_cort,SMd,15,70,0.620666666666667
PFM3T7T01,0.0,FNR_cort,SMd,20,70,0.575666666666667
PFM3T7T01,0.0,FNR_cort,SMd,25,70,0.508333333333333
PFM3T7T01,0.0,FNR_cort,SMd,30,70,0.506
PFM3T7T01,0.0,FNR_cort,SMd,35,70,0.499
PFM3T7T01,0.0,FNR_cort,SMd,40,70,0.467666666666667
PFM3T7T01,0.0,FNR_cort,SMd,45,70,0.466666666666667
PFM3T7T01,0.0,FNR_cort,SMd,5,70,0.742
PFM3T7T01,0.0,FNR_cort,SMd,50,70,0.466333333333333
PFM3T7T01,0.0,FNR_cort,SMd,55,70,0.469333333333333
PFM3T7T01,0.0,FNR_cort,SMd,60,70,0.456333333333333
PFM3T7T01,0.0,FNR_cort,SMd,65,70,0.469
PFM3T7T01,0.0,FNR_cort,SMd,70,70,0.461333333333333
PFM3T7T01,0.0,FNR_cort,SMl,10,70,0.476148409893993
PFM3T7T01,0.0,FNR_cort,SMl,15,70,0.43065371024735
PFM3T7T01,0.0,FNR_cort,SMl,20,70,0.418286219081272
PFM3T7T01,0.0,FNR_cort,SMl,25,70,0.429770318021201
PFM3T7T01,0.0,FNR_cort,SMl,30,70,0.403268551236749
PFM3T7T01,0.0,FNR_cort,SMl,35,70,0.449204946996466
PFM3T7T01,0.0,FNR_cort,SMl,40,70,0.510600706713781
PFM3T7T01,0.0,FNR_cort,SMl,45,70,0.489399293286219
PFM3T7T01,0.0,FNR_cort,SMl,5,70,0.477473498233216
PFM3T7T01,0.0,FNR_cort,SMl,50,70,0.489399293286219
PFM3T7T01,0.0,FNR_cort,SMl,55,70,0.495141342756184
PFM3T7T01,0.0,FNR_cort,SMl,60,70,0.434187279151943
PFM3T7T01,0.0,FNR_cort,SMl,65,70,0.404593639575972
PFM3T7T01,0.0,FNR_cort,SMl,70,70,0.392226148409894
PFM3T7T01,0.0,FNR_cort,Sal,10,70,0.490449784349969
PFM3T7T01,0.0,FNR_cort,Sal,15,70,0.407270486752927
PFM3T7T01,0.0,FNR_cort,Sal,20,70,0.333949476278497
PFM3T7T01,0.0,FNR_cort,Sal,25,70,0.3758471965496
PFM3T7T01,0.0,FNR_cort,Sal,30,70,0.347504621072089
PFM3T7T01,0.0,FNR_cort,Sal,35,70,0.380160197165742
PFM3T7T01,0.0,FNR_cort,Sal,40,70,0.37399876771411
PFM3T7T01,0.0,FNR_cort,Sal,45,70,0.418977202711029
PFM3T7T01,0.0,FNR_cort,Sal,5,70,0.403573629081947
PFM3T7T01,0.0,FNR_cort,Sal,50,70,0.395563770794824
PFM3T7T01,0.0,FNR_cort,Sal,55,70,0.351201478743068
PFM3T7T01,0.0,FNR_cort,Sal,60,70,0.298213185459026
PFM3T7T01,0.0,FNR_cort,Sal,65,70,0.270486752926679
PFM3T7T01,0.0,FNR_cort,Sal,70,70,0.254467036352434
PFM3T7T01,0.0,FNR_cort,Tpole,10,70,0.583333333333333
PFM3T7T01,0.0,FNR_cort,Tpole,15,70,0.471014492753623
PFM3T7T01,0.0,FNR_cort,Tpole,20,70,0.442028985507246
PFM3T7T01,0.0,FNR_cort,Tpole,25,70,0.351449275362319
PFM3T7T01,0.0,FNR_cort,Tpole,30,70,0.365942028985507
PFM3T7T01,0.0,FNR_cort,Tpole,35,70,0.364130434782609
PFM3T7T01,0.0,FNR_cort,Tpole,40,70,0.380434782608696
PFM3T7T01,0.0,FNR_cort,Tpole,45,70,0.403985507246377
PFM3T7T01,0.0,FNR_cort,Tpole,5,70,0.655797101449275
PFM3T7T01,0.0,FNR_cort,Tpole,50,70,0.414855072463768
PFM3T7T01,0.0,FNR_cort,Tpole,55,70,0.416666666666667
PFM3T7T01,0.0,FNR_cort,Tpole,60,70,0.422101449275362
PFM3T7T01,0.0,FNR_cort,Tpole,65,70,0.481884057971014
